"channels","conversions"
"Facebook Messenger Installs,Organic,Facebook Installs","0"
"Branch,Organic,Instagram Installs","4"
"Branch,Leadbolt,Facebook Installs,Instagram Installs","0"
"Organic,Facebook Installs","723"
"Off-Facebook Installs,Branch,Instagram Installs","15"
"Facebook Messenger Installs,Organic","0"
"Off-Facebook Installs,Facebook Installs","101"
"Facebook Installs,Facebook Messenger Installs,Organic,Instagram Installs","2"
"Facebook Messenger Installs,Branch","70"
"Branch,Organic,AppNext","0"
"AppNext,Instagram Installs,Branch","1"
"Off-Facebook Installs,Leadbolt,Branch","0"
"Off-Facebook Installs,Branch","886"
"Branch,Instagram Installs","587"
"Branch,Off-Facebook Installs,Facebook Installs","87"
"Instagram Installs,Organic,Branch","2"
"Facebook Messenger Installs,Facebook Installs,Branch","12"
"Organic,Adwords UAC Installs","0"
"Facebook Installs,Instagram Installs,Organic,Off-Facebook Installs","3"
"Branch,Off-Facebook Installs,Instagram Installs,Facebook Installs","0"
"Off-Facebook Installs,Organic,Facebook Installs","11"
"Organic,Off-Facebook Installs,Branch","12"
"Organic,Off-Facebook Installs,Facebook Installs,Branch","0"
"AppNext,Leadbolt,Adwords UAC Installs","0"
"Branch,Facebook Installs,Leadbolt","6"
"Off-Facebook Installs,Branch,Facebook Installs,Instagram Installs","0"
"Branch,AppNext,Off-Facebook Installs","9"
"Facebook Installs,Adwords UAC Installs,Branch","17"
"Organic,AppNext,Branch","2"
"Branch,Facebook Installs,Facebook Messenger Installs","16"
"Adwords UAC Installs,Branch,AppNext","0"
"Instagram Installs,Facebook Installs,Off-Facebook Installs","0"
"Off-Facebook Installs,Branch,AppNext","1"
"Off-Facebook Installs,Facebook Installs,Branch","59"
"Facebook Messenger Installs,Off-Facebook Installs","3"
"Adwords UAC Installs,AppNext","1"
"Branch,Off-Facebook Installs,Leadbolt","0"
"Organic,Facebook Installs,Branch,Instagram Installs","0"
"Facebook Installs,AppNext,Branch","14"
"Branch,AppNext,Facebook Installs","14"
"Instagram Installs,Organic,Facebook Installs","8"
"Facebook Messenger Installs,AppNext","2"
"Branch,Adwords UAC Installs,Off-Facebook Installs","0"
"Leadbolt,Adwords UAC Installs","1"
"Facebook Installs,Instagram Installs,Branch,Leadbolt","0"
"Branch,Off-Facebook Installs","677"
"Organic,Instagram Installs,Branch","7"
"Instagram Installs,AppNext,Facebook Installs","0"
